,DOLocationID,Count 
0,1,17294
1,2,7
2,3,622
3,4,43155
4,5,57
5,6,168
6,7,39563
7,8,152
8,9,552
9,10,3521
10,11,648
11,12,6471
12,13,86644
13,14,6770
14,15,861
15,16,1297
16,17,12457
17,18,1420
18,19,668
19,20,984
20,21,1197
21,22,1698
22,23,210
23,24,31251
24,25,17697
25,26,1954
26,27,73
27,28,2306
28,29,828
29,30,37
30,31,548
31,32,887
32,33,27609
33,34,943
34,35,1372
35,36,6757
36,37,11717
37,38,645
38,39,1980
39,40,10706
40,41,62275
41,42,41209
42,43,118618
43,44,39
44,45,25610
45,46,126
46,47,888
47,48,248848
48,49,16189
49,50,107797
50,51,1083
51,52,7753
52,53,917
53,54,2686
54,55,954
55,56,2437
56,57,447
57,58,223
58,59,44
59,60,641
60,61,14727
61,62,3979
62,63,934
63,64,664
64,65,17769
65,66,13819
66,67,1434
67,68,205109
68,69,4093
69,70,3377
70,71,1556
71,72,1492
72,73,520
73,74,71205
74,75,110732
75,76,2540
76,77,710
77,78,997
78,79,211655
79,80,15125
80,81,592
81,82,7363
82,83,3414
83,84,62
84,85,1374
85,86,636
86,87,74992
87,88,37090
88,89,7711
89,90,139159
90,91,1759
91,92,3848
92,93,1187
93,94,684
94,95,10811
95,96,133
96,97,15803
97,98,863
98,99,3
99,100,140894
100,101,575
101,102,1143
102,105,6
103,106,4743
104,107,193724
105,108,613
106,109,73
107,111,119
108,112,21365
109,113,132067
110,114,100409
111,115,134
112,116,26115
113,117,414
114,118,144
115,119,2143
116,120,431
117,121,1540
118,122,417
119,123,1276
120,124,990
121,125,47511
122,126,1276
123,127,6781
124,128,591
125,129,15524
126,130,2436
127,131,1247
128,132,78317
129,133,2658
130,134,2122
131,135,2080
132,136,1258
133,137,131871
134,138,103124
135,139,760
136,140,163151
137,141,221442
138,142,254714
139,143,122132
140,144,83730
141,145,30246
142,146,11829
143,147,982
144,148,97857
145,149,1029
146,150,495
147,151,77612
148,152,15893
149,153,359
150,154,84
151,155,1236
152,156,80
153,157,2619
154,158,95988
155,159,3011
156,160,2602
157,161,357695
158,162,280160
159,163,226701
160,164,195831
161,165,1814
162,166,75529
163,167,1472
164,168,7231
165,169,1769
166,170,291982
167,171,1354
168,172,108
169,173,2575
170,174,1181
171,175,823
172,176,45
173,177,1886
174,178,703
175,179,12805
176,180,702
177,181,31231
178,182,1214
179,183,487
180,184,59
181,185,979
182,186,238051
183,187,52
184,188,6592
185,189,9784
186,190,2222
187,191,1141
188,192,760
189,193,6600
190,194,1582
191,195,3277
192,196,3101
193,197,2277
194,198,4570
195,200,2848
196,201,378
197,202,3840
198,203,802
199,204,48
200,205,1382
201,206,146
202,207,381
203,208,1293
204,209,23499
205,210,1147
206,211,77548
207,212,1186
208,213,1558
209,214,145
210,215,1031
211,216,3680
212,217,2848
213,218,1338
214,219,1868
215,220,3460
216,221,149
217,222,415
218,223,17508
219,224,38821
220,225,9069
221,226,22440
222,227,2049
223,228,5704
224,229,164432
225,230,290401
226,231,154555
227,232,41865
228,233,134474
229,234,258096
230,235,1893
231,236,367152
232,237,344991
233,238,195148
234,239,231073
235,240,259
236,241,1463
237,242,996
238,243,16735
239,244,32065
240,245,103
241,246,165588
242,247,4229
243,248,1055
244,249,151735
245,250,881
246,251,139
247,252,1335
248,253,45
249,254,1081
250,255,25193
251,256,22328
252,257,4413
253,258,1430
254,259,973
255,260,10062
256,261,44476
257,262,120022
258,263,173457
259,264,130347
260,265,21686
